service_id,date,exception_type
22214WD,20170804,1
22214WD,20170805,2
22214WD,20170806,2
22214WD,20170807,1
22214WD,20170808,1
22214WD,20170809,1
22214WD,20170810,1
22214WD,20170811,1
22214WD,20170812,2
22214WD,20170813,2
22214WD,20170814,1
22214WD,20170815,1
22214WD,20170816,1
22214WD,20170817,1
22214WD,20170818,1
22214WD,20170819,2
22214WD,20170820,2
22214WD,20170821,1
22214WD,20170822,1
22214WD,20170823,1
22214WD,20170824,1
22214WD,20170825,1
22214WD,20170826,2
22214WD,20170827,2
22214WD,20170828,1
22214WD,20170829,1
22214WD,20170830,1
22214WD,20170831,1
22214WD,20170901,1
22214WD,20170902,2
22214WD,20170903,2
22214WD,20170904,1
22214WD,20170905,1
22214WD,20170906,1
22214WD,20170907,1
22214WD,20170908,1
22214WD,20170909,2
22214WD,20170910,2
22214WD,20170911,1
22214WD,20170912,1
22214WD,20170913,1
22214WD,20170914,1
22214WD,20170915,1
22214WD,20170916,2
22214WD,20170917,2
22214WD,20170918,1
22214WD,20170919,1
22214WD,20170920,1
22214WD,20170921,1
22214WD,20170922,1
22214WD,20170923,2
22214WD,20170924,2
22214WD,20170925,1
22214WD,20170926,1
22214WD,20170927,1
22214WD,20170928,1
22214WD,20170929,1
22214WD,20170930,2
22214WD,20171001,2
22214WD,20171002,1
22214WD,20171003,1
22214WD,20171004,1
22214WD,20171005,1
22214WD,20171006,1
22214WD,20171007,2
22214WD,20171008,2
22214WD,20171009,1
22214WD,20171010,1
22214WD,20171011,1
22214WD,20171012,1
22214WD,20171013,1
22214WD,20171014,2
22214WD,20171015,2
22214WD,20171016,1
22214WD,20171017,1
22214WD,20171018,1
22214WD,20171019,1
22214WD,20171020,1
22214WD,20171021,2
22214WD,20171022,2
22214WD,20171023,1
22214WD,20171024,1
22214WD,20171025,1
22214WD,20171026,1
22214WD,20171027,1
22214WD,20171028,2
22214WD,20171029,2
22214WD,20171030,1
22214WD,20171031,1
22214WD,20171101,1
22214WE,20170804,2
22214WE,20170805,1
22214WE,20170806,1
22214WE,20170807,2
22214WE,20170808,2
22214WE,20170809,2
22214WE,20170810,2
22214WE,20170811,2
22214WE,20170812,1
22214WE,20170813,1
22214WE,20170814,2
22214WE,20170815,2
22214WE,20170816,2
22214WE,20170817,2
22214WE,20170818,2
22214WE,20170819,1
22214WE,20170820,1
22214WE,20170821,2
22214WE,20170822,2
22214WE,20170823,2
22214WE,20170824,2
22214WE,20170825,2
22214WE,20170826,1
22214WE,20170827,1
22214WE,20170828,2
22214WE,20170829,2
22214WE,20170830,2
22214WE,20170831,2
22214WE,20170901,2
22214WE,20170902,1
22214WE,20170903,1
22214WE,20170904,2
22214WE,20170905,2
22214WE,20170906,2
22214WE,20170907,2
22214WE,20170908,2
22214WE,20170909,1
22214WE,20170910,1
22214WE,20170911,2
22214WE,20170912,2
22214WE,20170913,2
22214WE,20170914,2
22214WE,20170915,2
22214WE,20170916,1
22214WE,20170917,1
22214WE,20170918,2
22214WE,20170919,2
22214WE,20170920,2
22214WE,20170921,2
22214WE,20170922,2
22214WE,20170923,1
22214WE,20170924,1
22214WE,20170925,2
22214WE,20170926,2
22214WE,20170927,2
22214WE,20170928,2
22214WE,20170929,2
22214WE,20170930,1
22214WE,20171001,1
22214WE,20171002,2
22214WE,20171003,2
22214WE,20171004,2
22214WE,20171005,2
22214WE,20171006,2
22214WE,20171007,1
22214WE,20171008,1
22214WE,20171009,2
22214WE,20171010,2
22214WE,20171011,2
22214WE,20171012,2
22214WE,20171013,2
22214WE,20171014,1
22214WE,20171015,1
22214WE,20171016,2
22214WE,20171017,2
22214WE,20171018,2
22214WE,20171019,2
22214WE,20171020,2
22214WE,20171021,1
22214WE,20171022,1
22214WE,20171023,2
22214WE,20171024,2
22214WE,20171025,2
22214WE,20171026,2
22214WE,20171027,2
22214WE,20171028,1
22214WE,20171029,1
22214WE,20171030,2
22214WE,20171031,2
22214WE,20171101,2
22214ED,20170804,1
22214ED,20170805,1
22214ED,20170806,1
22214ED,20170807,1
22214ED,20170808,1
22214ED,20170809,1
22214ED,20170810,1
22214ED,20170811,1
22214ED,20170812,1
22214ED,20170813,1
22214ED,20170814,1
22214ED,20170815,1
22214ED,20170816,1
22214ED,20170817,1
22214ED,20170818,1
22214ED,20170819,1
22214ED,20170820,1
22214ED,20170821,1
22214ED,20170822,1
22214ED,20170823,1
22214ED,20170824,1
22214ED,20170825,1
22214ED,20170826,1
22214ED,20170827,1
22214ED,20170828,1
22214ED,20170829,1
22214ED,20170830,1
22214ED,20170831,1
22214ED,20170901,1
22214ED,20170902,1
22214ED,20170903,1
22214ED,20170904,1
22214ED,20170905,1
22214ED,20170906,1
22214ED,20170907,1
22214ED,20170908,1
22214ED,20170909,1
22214ED,20170910,1
22214ED,20170911,1
22214ED,20170912,1
22214ED,20170913,1
22214ED,20170914,1
22214ED,20170915,1
22214ED,20170916,1
22214ED,20170917,1
22214ED,20170918,1
22214ED,20170919,1
22214ED,20170920,1
22214ED,20170921,1
22214ED,20170922,1
22214ED,20170923,1
22214ED,20170924,1
22214ED,20170925,1
22214ED,20170926,1
22214ED,20170927,1
22214ED,20170928,1
22214ED,20170929,1
22214ED,20170930,1
22214ED,20171001,1
22214ED,20171002,1
22214ED,20171003,1
22214ED,20171004,1
22214ED,20171005,1
22214ED,20171006,1
22214ED,20171007,1
22214ED,20171008,1
22214ED,20171009,1
22214ED,20171010,1
22214ED,20171011,1
22214ED,20171012,1
22214ED,20171013,1
22214ED,20171014,1
22214ED,20171015,1
22214ED,20171016,1
22214ED,20171017,1
22214ED,20171018,1
22214ED,20171019,1
22214ED,20171020,1
22214ED,20171021,1
22214ED,20171022,1
22214ED,20171023,1
22214ED,20171024,1
22214ED,20171025,1
22214ED,20171026,1
22214ED,20171027,1
22214ED,20171028,1
22214ED,20171029,1
22214ED,20171030,1
22214ED,20171031,1
22214ED,20171101,1
